Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P10,0.3365,0.821067859,0.7293788992,0.7430245029,0.7717701062,0.6543594902,0.9038585054,0.7646543122,0.7242120762
P10,0.337,0.8452498135,0.7790828019,0.6826575978,0.7670989936,0.665909997,0.9757600138,0.8032059981,0.7625931158
P10,0.3375,0.893959306,0.7889821939,0.7555490436,0.7948558866,0.7798352428,1.002188168,0.7461133449,0.824780937
P10,0.338,0.9063458226,0.7608944898,0.8546526696,0.8225190655,0.8006573049,0.9561483923,0.733800127,0.8567731247
P10,0.3385,0.8937317305,0.7131145621,0.9997401059,0.8681480094,0.6967419914,0.8678636176,0.7897614481,0.8640280667
P10,0.339,0.8312020491,0.7671411644,0.8818552934,0.819760303,0.5876343851,0.8570429098,0.7719098643,0.8072759789
P10,0.3395,0.8059494511,0.8373923499,0.8189578751,0.7445572403,0.6310943,0.8781038814,0.6969263857,0.7694738405
P10,0.34,0.8142073241,0.8383778714,0.7645834007,0.753413503,0.7990127676,0.8303600531,0.6827829488,0.7469589724
P10,0.3405,0.7786348351,0.8076932581,0.7379234831,0.7851590462,0.8392367279,0.7760027617,0.7795604415,0.7520944631
P10,0.341,0.8329654347,0.7339601159,0.7747951563,0.7730042092,0.8041950643,0.7800194876,0.8116729996,0.6951752316
P10,0.3415,0.8921680394,0.758349184,0.8362590613,0.7186971427,0.6604013615,0.8504150079,0.7755902213,0.6648314545
P10,0.342,0.8306724157,0.8112209579,0.9039794944,0.6621922267,0.7329520047,0.8310947323,0.8584307935,0.7210848237
P10,0.3425,0.7712123952,0.8543899415,0.7504497267,0.6708307524,0.8216756458,0.7879826657,0.9694958573,0.7255242795
P10,0.343,0.7301098055,0.9111648394,0.7362518098,0.7233691622,0.7099795892,0.7999730489,1.017111326,0.7622867924
P10,0.3435,0.6723595964,0.8720801098,0.8376261519,0.7265140609,0.7183727735,0.8215072823,0.8038218357,0.8095240527
